contract,status,funded,split_sheet,split_mca,K_sheet,comm_pct_mca_now,feein_sheet,feein_mca_orig,paid_sheet_exJ,paid_pending_share,paid_cleared_share,feeout_sheet,feeout_mca_on_cleared,J_sheet,flag
5674182580,Closed,15000.0,0.01,0.01,0.05,0.05,13.5,13.5,217.5,217.5,217.5,8.7,8.7,,
5674182604,Bankruptcy,150000.0,0.01,0.01,0.09,0.09,195.0,195.0,599.5,599.5,599.5,23.98,23.98,,
5674182670,Open,65000.0,0.01,0.01,0.12,0.12,104.0,104.0,780.33,780.33,740.51,31.21,29.62,,PENDING
5674182735,Open,75000.0,0.02,0.02,0.11,0.11,225.01,225.0,953.33,953.33,905.67,38.14,36.23,,PENDING
5674182772,Closed,250000.0,0.01,0.01,0.1,0.03,350.0,350.0,2999.99,3000.0,3000.0,120.0,120.0,175.0,
5674182820,Closed,10000.0,0.02,0.02,0.1,0.1,28.0,28.0,289.99,290.0,290.0,11.6,11.6,,
5674182967,Lowered Payments,30000.0,0.01,0.01,0.06,0.03,30.01,30.0,138.5,138.49,130.49,5.53,5.22,9.0,PENDING
5674183001,Closed,7000.0,0.02,0.02,0.1,0.1,19.59,19.6,210.0,210.0,210.0,8.4,8.4,,
5674183456,Legal,20000.0,0.01,0.01,0.1,0.0,28.0,28.0,0.0,0.0,0.0,0.0,0.0,20.0,
5674183461,Open,35000.0,0.01,0.01,0.1,0.1,49.0,49.0,313.19,313.19,294.56,12.52,11.78,,PENDING
5674183553,Collections,8000.0,0.01,0.02,0.1,0.0,11.19,22.4,34.21,68.42,68.42,1.37,2.74,16.0,SPLIT
5674183573,Closed,20000.0,0.02,0.02,0.05,0.05,36.0,36.0,599.61,599.6,599.6,23.98,23.98,,
5674183603,Open,21000.0,0.02,0.02,0.1,0.1,58.8,58.8,459.0,459.0,433.5,18.37,17.34,,PENDING
5674183607,Legal,40000.0,0.01,0.01,0.13,0.0,68.0,68.0,163.8,163.8,163.8,6.54,6.55,52.0,
5674183625,Open,45000.0,0.02,0.02,0.12,0.12,144.0,144.0,646.44,646.44,614.94,25.86,24.6,,PENDING
5674183661,Open,25000.0,0.02,0.02,0.12,0.0,80.0,80.0,300.01,300.0,294.0,12.0,11.76,60.0,PENDING
5674183695,Closed,35000.0,0.02,0.02,0.12,0.12,111.99,112.0,1049.31,1049.3,1049.3,41.97,41.97,,
5674183769,Closed,15000.0,0.01,0.01,0.05,0.05,13.5,13.5,215.47,215.47,215.47,8.63,8.62,,
5674183881,Legal,40000.0,0.02,0.02,0.13,0.13,136.0,136.0,280.8,280.8,280.8,11.24,11.23,,
5674183944,Closed,10000.0,0.02,0.02,0.08,0.08,24.0,24.0,304.01,304.0,304.0,12.17,12.16,,
5674184038,Lowered Payments,24000.0,0.01,0.01,0.12,0.12,38.41,38.4,97.85,97.85,92.71,3.92,3.71,,PENDING
5674184096,Open,50000.0,0.02,0.02,0.05,0.0,90.01,90.0,817.5,817.5,642.33,32.7,25.69,50.0,PENDING
5674184115,Open,50000.0,0.01,0.01,0.083,0.083,61.49,61.5,272.77,272.77,256.73,10.9,10.27,,PENDING
5674184294,Closed,150000.0,0.02,0.02,0.12,0.12,480.0,480.0,4377.0,4377.0,4377.0,175.08,175.08,,
5674184377,Closed,30000.0,0.02,0.02,0.1,0.1,84.01,84.0,881.4,881.4,881.4,35.25,35.26,,
5674184420,Lowered Payments,175000.0,0.01,0.01,0.12,0.02,280.0,280.0,534.55,534.55,514.55,21.38,20.58,175.0,PENDING
5674184531,Closed,30000.0,0.01,0.01,0.05,0.05,27.0,27.0,345.01,345.0,345.0,13.8,13.8,16.8,
5674184544,Open,30000.0,0.01,0.01,0.12,0.12,47.99,48.0,273.75,273.75,255.5,10.95,10.22,,PENDING
5674184548,Lowered Payments,100000.0,0.01,0.01,0.12,0.12,160.0,160.0,469.75,469.75,448.65,18.78,17.95,,PENDING
5674184550,Lowered Payments,100000.0,0.01,0.01,0.12,0.12,160.0,160.0,304.33,304.32,283.22,12.18,11.33,,PENDING
5674184556,Closed,20000.0,0.01,0.01,0.05,0.02,18.0,18.0,240.01,240.0,240.0,9.6,9.6,6.0,
5674184570,Closed,10500.0,0.01,0.01,0.05,0.01,9.44,9.45,120.31,120.3,120.3,4.81,4.81,4.2,
5674184601,Lowered Payments,40000.0,0.01,0.01,0.1,0.1,56.0,56.0,141.67,141.66,136.66,5.67,5.47,,PENDING
5674184691,Open,250000.0,0.01,0.01,0.035,0.035,187.5,187.5,1181.24,1181.25,1012.5,47.24,40.5,,PENDING
5674184717,Legal,40000.0,0.01,0.01,0.12,0.12,63.99,64.0,131.94,131.94,131.94,5.28,5.28,,
5674184722,Closed,275000.0,0.01,0.01,0.12,0.12,440.0,440.0,3762.25,3762.25,3762.25,150.49,150.49,,
5674184751,Open,40000.0,0.01,0.01,0.05,0.05,36.01,36.0,495.0,495.0,465.0,19.81,18.6,,PENDING
5674184759,Open,16156.27,0.01,0.01,0.05,0.05,14.54,14.54,110.23,110.24,103.35,4.42,4.13,,PENDING
5674184784,Lowered Payments,72500.0,0.01,0.01,0.12,0.12,116.0,116.0,389.29,389.29,383.54,15.58,15.34,,PENDING
5674184787,Collections,15000.0,0.01,0.01,0.12,0.12,24.0,24.0,65.02,65.02,65.02,2.6,2.6,,
5674184793,Open,15000.0,0.01,0.01,0.05,0.05,13.5,13.5,115.9,115.89,107.95,4.63,4.32,,PENDING
5674184905,Open,20000.0,0.02,0.02,0.12,0.12,64.0,64.0,354.0,354.0,330.0,14.16,13.2,,PENDING
5674184921,Open,30000.0,0.01,0.01,0.08,0.08,36.0,36.0,239.08,239.08,222.0,9.56,8.88,,PENDING
5674185090,Open,13000.0,0.01,0.01,0.12,0.12,20.8,20.8,151.9,151.9,141.05,6.07,5.64,,PENDING
5674185152,Closed,200000.0,0.01,0.01,0.05,0.05,179.99,180.0,2980.0,2980.0,2980.0,119.2,119.2,,
5674185175,Open,110000.0,0.01,0.01,0.05,0.05,99.0,99.0,655.69,655.69,619.26,26.23,24.77,,PENDING
5674185249,Closed,20000.0,0.01,0.01,0.05,0.01,17.99,18.0,231.99,232.0,232.0,9.28,9.28,8.0,
5674185287,Legal,25000.0,0.01,0.01,0.1,0.0,35.01,35.0,0.0,0.0,0.0,-0.01,0.0,25.0,
5674185435,Open,25000.0,0.01,0.01,0.1,0.1,35.0,35.0,341.53,341.53,322.53,13.66,12.9,,PENDING
5674185457,Open,100000.0,0.01,0.01,0.12,0.12,160.0,160.0,712.5,712.5,650.0,28.51,26.0,,PENDING
5674185559,Closed,35000.0,0.01,0.01,0.05,0.02,31.5,31.5,439.08,439.08,439.08,17.56,17.56,10.5,
5674185610,Closed,16000.0,0.01,0.01,0.1,0.02,22.4,22.4,180.02,180.03,180.03,7.21,7.2,12.8,
5674185633,Open,30000.0,0.01,0.01,0.08,0.08,36.0,36.0,136.49,136.5,126.0,5.47,5.04,,PENDING
5674185651,Open,400000.0,0.01,0.01,0.05,0.05,360.01,360.0,2569.8,2569.8,2141.5,102.79,85.66,,PENDING
5674185784,Open,150000.0,0.01,0.01,0.12,0.12,240.0,240.0,416.0,416.0,390.0,16.64,15.6,,PENDING
5674185787,Open,36000.0,0.01,0.01,0.05,0.05,32.4,32.4,352.77,352.77,323.37,14.1,12.93,,PENDING
5674185791,Open,10000.0,0.01,0.01,0.12,0.12,16.0,16.0,75.0,75.0,68.75,3.0,2.75,,PENDING
5674185804,SIF-Collections,30000.0,0.01,0.01,0.05,0.02,27.0,27.0,322.5,322.5,322.5,12.9,12.9,9.0,
5674185848,Bankruptcy,105000.0,0.01,0.01,0.11,0.01,157.5,157.5,110.23,110.25,110.25,4.41,4.41,105.0,
5674185921,Legal,50000.0,0.01,0.01,0.12,0.0,79.99,80.0,75.0,75.0,75.0,3.0,3.0,60.0,
5674185922,Legal,30000.0,0.01,0.01,0.12,0.0,48.0,48.0,95.99,96.0,96.0,3.84,3.84,36.0,
5674185959,Open,100000.0,0.01,0.01,0.06,0.06,100.01,100.0,621.43,621.43,569.64,24.86,22.79,,PENDING
5674185963,Legal,10000.0,0.01,0.01,0.1,0.1,14.0,14.0,85.65,85.66,85.66,3.43,3.43,,
5674185966,Open,16017.0,0.01,0.01,0.05,0.05,14.41,14.42,73.85,73.86,67.27,2.96,2.69,,PENDING
5674185981,Open,75000.0,0.01,0.01,0.12,0.12,119.99,120.0,479.89,479.88,439.89,19.19,17.6,,PENDING
5674186082,Closed,30000.0,0.01,0.01,0.12,0.1,48.01,48.0,405.0,405.0,405.0,16.2,16.2,6.0,
5674186083,Open,50000.0,0.01,0.01,0.1,0.1,69.99,70.0,235.55,235.55,219.49,9.43,8.78,,PENDING
5674186104,Closed,160000.0,0.01,0.01,0.075,0.075,184.0,184.0,1888.01,1888.0,1888.0,75.53,75.52,89.12,
5674186105,Open,22000.0,0.01,0.01,0.12,0.12,35.2,35.2,162.25,162.25,148.5,6.49,5.94,,PENDING
